"Business:","The Tapalian Law Firm - David C. Tapalian, Esq.,350 S Main St, Providence, RI 02903"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 08:09:47
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.77"
"ATRP:","19.37"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"19","41.88347734511478","-71.34870507597495","https://www.google.com/maps/search/?api=1&query=41.88347734511478,41.88347734511478","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Bottaro Law Firm, LLC","Marasco & Nesselbush Personal Injury Lawyers","Kevin P. Landry Law Offices","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Kiselica Law Firm","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Tapalian Law Firm - David C. Tapalian, Esq.","Motorcycle Injury Lawyer - MA Biker",
"20+","41.9041301268197","-71.34870507597495","https://www.google.com/maps/search/?api=1&query=41.9041301268197,41.9041301268197","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Kevin P. Landry Law Offices","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Sparks Law Office","Kiselica Law Firm","The Bottaro Law Firm, LLC","Motorcycle Injury Lawyer - MA Biker",
"20+","41.924782908524634","-71.34870507597495","https://www.google.com/maps/search/?api=1&query=41.924782908524634,41.924782908524634","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Marasco & Nesselbush Personal Injury Lawyers","Kevin P. Landry Law Offices","The Law Offices of Carol Mercier-Locke","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P Landry Law Offices","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P. Landry Law Offices","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys",
"20+","41.94543569022956","-71.34870507597495","https://www.google.com/maps/search/?api=1&query=41.94543569022956,41.94543569022956","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Law Offices of Carol Mercier-Locke","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P Landry Law Offices","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Bottaro Law Firm, LLC","Marasco & Nesselbush Personal Injury Lawyers","Kevin P. Landry Law Offices","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Motorcycle Injury Lawyer - MA Biker",
"20+","41.96608847193448","-71.34870507597495","https://www.google.com/maps/search/?api=1&query=41.96608847193448,41.96608847193448","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Law Offices of Carol Mercier-Locke","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P Landry Law Offices","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Kevin P. Landry Law Offices","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Motorcycle Injury Lawyer - MA Biker","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. - Personal Injury Lawyers",
"20+","41.67694952806551","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.67694952806551,41.67694952806551","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates","The Bottaro Law Firm, LLC","Marasco & Nesselbush","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Sands Law Offices","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.",
"20+","41.69760230977043","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.69760230977043,41.69760230977043","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Marasco & Nesselbush","The Bottaro Law Firm, LLC","Rob Levine & Associates","The Bottaro Law Firm, LLC","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers",
"20+","41.718255091475356","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.718255091475356,41.718255091475356","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Bottaro Law Firm, LLC","Marasco & Nesselbush","Law Offices of Ronald J. Resmini, LTD.","The Bottaro Law Firm, LLC","Rob Levine & Associates","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Motorcycle Injury Lawyer - MA Biker","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers",
"20+","41.73890787318029","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.73890787318029,41.73890787318029","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Ronald J. Resmini, LTD.","Kevin P Landry Law Offices","Marasco & Nesselbush","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Motorcycle Injury Lawyer - MA Biker","Dana and Dana Attorneys at Law","Kiselica Law Firm","Rob Levine & Associates",
"20","41.75956065488521","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.75956065488521,41.75956065488521","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Dana and Dana Attorneys at Law","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P Landry Law Offices","Law Offices of Ronald J. Resmini, LTD.","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Motorcycle Injury Lawyer - MA Biker","Kiselica Law Firm","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Tapalian Law Firm - David C. Tapalian, Esq.",
"12","41.78021343659014","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.78021343659014,41.78021343659014","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","The Bottaro Law Firm, LLC","Marasco & Nesselbush Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Dana and Dana Attorneys at Law","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Tapalian Law Firm - David C. Tapalian, Esq.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kiselica Law Firm","Brian Cunha & Associates Law Office","Kevin P Landry Law Offices","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Motorcycle Injury Lawyer - MA Biker",
"14","41.80086621829507","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.80086621829507,41.80086621829507","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Ronald J. Resmini, LTD.","Rob Levine & Associates Personal Injury Lawyers","The Bottaro Law Firm, LLC","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Dana and Dana Attorneys at Law","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Tapalian Law Firm - David C. Tapalian, Esq.","Kiselica Law Firm","Brian Cunha & Associates Law Office","The Bottaro Law Firm, LLC","Kevin P Landry Law Offices","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Motorcycle Injury Lawyer - MA Biker",
"13","41.821518999999995","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.821518999999995,41.821518999999995","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","Dana and Dana Attorneys at Law","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Tapalian Law Firm - David C. Tapalian, Esq.","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Kiselica Law Firm","Brian Cunha & Associates Law Office","Kevin P Landry Law Offices","The Bottaro Law Firm, LLC","Motorcycle Injury Lawyer - MA Biker","d'Oliveira & Associates, p.c. – Personal Injury Lawyers",
"10","41.84217178170492","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.84217178170492,41.84217178170492","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Tapalian Law Firm - David C. Tapalian, Esq.","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Bottaro Law Firm, LLC","Law Offices of Ronald J. Resmini, LTD.","Dana and Dana Attorneys at Law","Kiselica Law Firm","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Brian Cunha & Associates Law Office","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Kevin P Landry Law Offices","The Bottaro Law Firm, LLC",
"11","41.86282456340985","-71.32099161396242","https://www.google.com/maps/search/?api=1&query=41.86282456340985,41.86282456340985","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Marasco & Nesselbush Personal Injury Lawyers","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","Rob Levine & Associates Personal Injury Lawyers","Law Offices of Ronald J. Resmini, LTD.","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","The Bottaro Law Firm, LLC","Law Offices of Michael Campopiano - Rhode Island Personal Injury Attorneys","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Tapalian Law Firm - David C. Tapalian, Esq.","Kiselica Law Firm","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","The Bottaro Law Firm, LLC","Brian Cunha & Associates Law Office","Kevin P. Landry Law Offices","d'Oliveira & Associates, p.c. - Personal Injury Lawyers","d'Oliveira & Associates, p.c. – Personal Injury Lawyers","Motorcycle Injury Lawyer - MA Biker","Dana and Dana Attorneys at Law",
